rt_score,Genre_1,Genre_2,Genre_3,imdb_rating,length,rating,studio,title,year
6.9,Adventure,Action,,6.2,122,PG-13,Paramount / Lucasfilm,Indiana Jones and the Kingdom of the Crystal Skull,2008
7.6,Sci-Fi,Adventure,Action,7.9,126,PG-13,Paramount / Marvel Studios,Iron Man,2008
7.2,Animation,Adventure,Action,7.6,92,PG,Paramount / DreamWorks,Kung Fu Panda,2008
5.9,Animation,Adventure,Action,6.7,89,PG,Paramount / DreamWorks,Madagascar: Escape 2 Africa,2008
5.5,Romance,Musical,Comedy,6.4,108,PG-13,Universal,Mamma Mia!,2008
6.1,Adventure,Action,,6.7,106,PG-13,MGM / Columbia,Quantum of Solace,2008
6.3,Family,Adventure,Action,6.6,150,PG,Disney / Walden Media,The Chronicles of Narnia: Prince Caspian,2008
8.6,Drama,Crime,Action,9,152,PG-13,Warner Bros. / Legendary,The Dark Knight,2008
8.5,Family,Animation,Adventure,8.4,98,G,Disney / Pixar,WALL-E,2008
6.1,War,Fantasy,Action,7.8,117,R,Warner Bros. / Legendary,300,2007
6.9,Fantasy,Family,Adventure,7.4,138,PG-13,Warner Bros.,Harry Potter and the Order of the Phoenix,2007
6.4,Thriller,Sci-Fi,Drama,7.2,101,PG-13,Warner Bros.,I Am Legend,2007
4.8,Mystery,Adventure,Action,6.5,124,PG,Disney,National Treasure: Book of Secrets,2007
5.5,Fantasy,Adventure,Action,7.1,169,PG-13,Disney,Pirates of the Caribbean: At World's End,2007
8.5,Family,Comedy,Animation,8,111,G,Disney / Pixar,Ratatouille,2007
5.4,Comedy,Animation,Adventure,6.1,93,PG,DreamWorks / Paramount,Shrek the Third,2007
6.2,Adventure,Action,,6.2,139,PG-13,Columbia,Spider-Man 3,2007
7.6,Comedy,Animation,Adventure,7.4,87,PG-13,Fox,The Simpsons Movie,2007
5.8,Sci-Fi,Adventure,Action,7.2,144,PG-13,DreamWorks / Paramount,Transformers,2007
6.9,Comedy,Animation,Adventure,7.2,117,G,Disney / Pixar,Cars,2006
7.8,Thriller,Adventure,Action,8,144,PG-13,MGM / Columbia,Casino Royale,2006
6.9,Family,Comedy,Animation,6.5,108,PG,Warner Bros.,Happy Feet,2006
6.1,Animation,Adventure,Action,6.9,91,PG,Fox / Blue Sky,Ice Age: The Meltdown,2006
6.6,Thriller,Adventure,Action,6.8,126,PG-13,Paramount,Mission: Impossible III,2006
5.3,Comedy,Adventure,Action,6.4,108,PG,Fox,Night at the Museum,2006
6,Fantasy,Adventure,Action,7.3,151,PG-13,Disney,Pirates of the Caribbean: Dead Man's Chest,2006
7,Fantasy,Adventure,Action,6.1,154,PG-13,Warner Bros. / Village Roadshow,Superman Returns,2006
4.8,Thriller,Mystery,,6.5,149,PG-13,Columbia,The Da Vinci Code,2006
5.9,Sci-Fi,Adventure,Action,6.8,104,PG-13,Fox,X-Men: The Last Stand,2006
7.7,Adventure,Action,,8.3,140,PG-13,Warner Bros / Legendary,Batman Begins,2005
7.2,Comedy,Adventure,Family,6.7,115,PG,Warner Bros,Charlie and the Chocolate Factory,2005
7.5,Fantasy,Family,Adventure,7.6,157,PG-13,Warner Bros.,Harry Potter and the Goblet of Fire,2005
6.3,Romance,Comedy,,6.7,118,PG-13,Columbia,Hitch,2005
7.7,Drama,Adventure,Action,7.3,187,PG-13,Universal,King Kong,2005
6.1,Comedy,Animation,Adventure,6.9,86,PG,DreamWorks,Madagascar,2005
6,Crime,Comedy,Action,6.5,120,PG-13,20th Century Fox,Mr. & Mrs. Smith,2005
7.2,Fantasy,Adventure,Action,7.7,140,PG-13,20th Century Fox / Lucasfilm,Star Wars Episode III: Revenge of the Sith,2005
6.9,Fantasy,Family,Adventure,6.9,143,PG,Disney,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
7,Thriller,Sci-Fi,Adventure,6.5,116,PG-13,Paramount / DreamWorks,War of the Worlds,2005
7.9,Fantasy,Family,Adventure,7.8,142,PG,Warner Bros.,Harry Potter and the Prisoner of Azkaban,2004
5.2,Romance,Comedy,,6.3,115,PG-13,Universal / DreamWorks,Meet the Fockers,2004
5.9,Thriller,Crime,,6.4,125,PG-13,Warner Bros.,Ocean's Twelve,2004
5.2,Comedy,Adventure,Animation,6,90,PG,DreamWorks,Shark Tale,2004
7.7,Comedy,Animation,Adventure,7.2,93,PG,DreamWorks,Shrek 2,2004
8.3,Adventure,Action,,7.3,127,PG-13,Columbia,Spider-Man 2,2004
5.3,Sci-Fi,Adventure,Action,6.4,124,PG-13,Fox,The Day After Tomorrow,2004
8.3,Animation,Adventure,Action,8,115,PG,Disney / Pixar,The Incredibles,2004
5.9,Drama,,,7.1,127,R,Icon / Newmarket,The Passion of the Christ,2004
6,Adventure,,,7.2,163,R,Warner Bros.,Troy,2004
4.1,Crime,Comedy,Action,6.5,147,R,Columbia,Bad Boys II,2003
5.6,Fantasy,Drama,Comedy,6.7,101,PG-13,Universal,Bruce Almighty,2003
8.6,Comedy,Animation,Adventure,8.2,100,G,Disney / Pixar,Finding Nemo,2003
7.1,Fantasy,Adventure,,8.1,143,PG-13,Disney,Pirates of the Caribbean: The Curse of the Black Pearl,2003
6.6,Sci-Fi,Action,,6.4,109,R,Warner Bros. / Columbia,Terminator 3: Rise of the Machines,2003
6.4,History,Drama,Action,7.7,154,R,Warner Bros.,The Last Samurai,2003
8.7,Fantasy,Adventure,Western,8.9,201,PG-13,New Line,The Lord of the Rings: The Return of the King,2003
6.8,Sci-Fi,Action,,7.2,138,R,Warner Bros.,The Matrix Reloaded,2003
5.3,Sci-Fi,Action,,6.7,129,R,Warner Bros.,The Matrix Revolutions,2003
7.4,Sci-Fi,Adventure,Action,7.5,134,PG-13,Fox,X2,2003
6.1,Crime,Adventure,Action,6.1,133,PG-13,MGM,Die Another Day,2002
7.2,Fantasy,Family,Adventure,7.3,161,PG,Warner Bros.,Harry Potter and the Chamber of Secrets,2002
6.8,Comedy,Animation,Adventure,7.6,81,PG,20th Century Fox / Blue Sky,Ice Age,2002
5.2,Fantasy,Comedy,Action,6,88,PG-13,Columbia,Men in Black II,2002
8.1,Sci-Fi,Mystery,Action,7.7,145,PG-13,DreamWorks / 20th Century Fox,Minority Report,2002
6.7,Romance,Comedy,,6.6,95,PG,IFC Films,My Big Fat Greek Wedding,2002
6.8,Thriller,Sci-Fi,Drama,6.7,106,PG-13,Touchstone,Signs,2002
7.6,Adventure,Action,,7.3,121,PG-13,Columbia / Marvel,Spider-Man,2002
6.6,Fantasy,Adventure,Action,6.7,142,PG,20th Century Fox / Lucasfilm,Star Wars Episode II: Attack of the Clones,2002
8.5,Fantasy,Adventure,,8.7,179,PG-13,New Line Cinema,The Lord of the Rings: The Two Towers,2002
5.1,Thriller,Drama,Crime,6.7,131,R,MGM / Universal,Hannibal,2001
7.1,Fantasy,Family,Adventure,7.5,152,PG,Warner Bros.,Harry Potter and the Sorcerer's Stone,2001
5.2,Sci-Fi,Adventure,Action,5.9,92,PG-13,Universal,Jurassic Park III,2001
8,Comedy,Animation,Adventure,8.1,92,G,Disney / Pixar,"Monsters, Inc.",2001
